INPUT:id	INPUT:text	OUTPUT:id	OUTPUT:plot	OUTPUT:image	OUTPUT:music	OUTPUT:actors	OUTPUT:plot_score	OUTPUT:image_score	OUTPUT:music_score	OUTPUT:actors_score	HINT:text
68319_2	eol разница мало год выходить экран фильм выписывать период средневековый мука ломка свой государство советский андрей ублевый практически неизвестный чехословацкий маркет лазаров оба лента свой страна пожалуй мировой история кинематография становиться картина эталонный точка зрение высокий художественность операторский работа главное реалистичность eol новаторский время картонный доспехи жестяной меч нарочитый выпуклый реализм отображение грязь кровь смерть поражать современник определять направление исторический кинематограф десятилетие средневековье оно благородный рыцарь прекрасный дама мудрый князь красивый поединок мрачный серый унылый все-таки проглядывать место сквозь отблеск костер человечность eol богемия моравие замшелый тринадцатый век глубинка король далеко помогать скоро дикий лесной дорога шастать рыцарь разбойник маркет воля случай попадать разбойничий слободка дикий семейство козлик оставаться созерцать участвовать мрачный событие противостояние старый чехия новый постепенно надвигаться королевский власть стараться изживать прижимать весь древний буйный полуязыческий крыться глушь болото лес eol фильм смотреть физически сложно несмотря гениальный нынешний искушенный время режиссерский операторский работа слишком страшный жестокий экранный событие тарковский делить эпизод андрей ублево чередовать мрачный картина полный свет надежда просто сумрак чернь безнадежный жестокий борьба малый толик любовь затрачивать усилие вознаграждать зритель сполна eol 10 10			yes	no	no		pos			
70089_7	eol рад недавно узнавать существование фильм весь фильм просто восхищаться искренний игра маленький актер насколько это чувствительный eol понетта воспринимать смерть совершенно по-своему заканчиваться существование мама течение весь фильм искать путь встреча отец слишком растерянный утешать ребенок попытка рассказывать дочь случаться мама разбиваться детский восприятие eol отец мама умирать знать это значить eol понетта летать свой волшебный зеркало eol сердце разрываться картина насколько глубоко переживать смерть мама просто оставлять равнодушный диалог фильм выписывать выписывать думать рассказывать фильм нежели eol дельфин должный грустный eol понетта должный eol понетта ждать свой мамочка eol матиаз умирать человек возвращаться eol понетта иисус сделать это свой друг друг дочка свой мамочка eol матиаз дедушка возвращаться eol понетта это никто ждать eol матиаз понетта ждать свой мамочка eol тетя это просто игра eol матиаз действительно ждать eol понетта видеть свой мамочка eol отец ходить кладбище сумасшедший eol понетта приходить свой плоть напугать сказать должный научаться счастливый eol слеза понетта дождаться свой встречаться свой мама решать счастливый сказать мамочка eol советовать фильм обязательно			no	no	yes				pos	
65855_1	eol последний десятилетие популярность азиатский хоррара возрастать многое благодаря закручивать острый сюжет мистический составлять линия картина фильм очень драматизм данный фильм исключение больший мера тяготеть драма нежели фильм ужас поэтому надеяться увидеть черноволосый привидение прочий нечисть это любитель мистика экшенный динамичный сюжет лужа кровь разочаровывать фильм показываться скучный нудный это спешить раскрываться картина очень тонкий психологический сюжет eol очень интересно наблюдать главный герой фильм молодой простой парень работать таксист особенно подражание брюс ход фильм понимать наш герой так-то простой кажется плохо передавать изменение поведение резко меняться конец фильм влияние психика окружающий обстановка eol актерский игра фильм высота особенно исполнитель главный роль сценарий фильм лишать шероховатость просмотр оставаться послевкусие недосказанность раскрытость фильм существовать момент который уделять мало внимание eol это кино оно понравиться далеко каждый зритель поэтому просмотр стоять подумать относиться любитель данный категория фильм ценитель подобный картина приятно просмотр eol 7 10		yes	no	no	yes	neg			pos	
63930_4	eol фильм способный вызывать аудитория диаметральный противоположный чувство смотреть особенный интерес картина приключение снимать микеланджело антониони полвека назад относиться именно категория свой время успевать обстоятельно отругать критика каннский кинофестиваль помещать список хороший фильм весь время аж второй место гражданин кейн уэллс факт временной интервал событие составлять год свидетельствовать быстрый признание творческий гений итальянский режиссер крайний мера мощный влияние необычайный год суть революционный подход форма содержание eol безлюдный кажущийся южноевропейский вулканический острый омывать бушевать волна робеть пристальный взгляд небо кто-то становиться идеальный место отдых нейтральный территория третий отправной точка новый приключение c трагический оттенок антониони становиться важный часть понимание действительность соединять цивилизационный первозданный помещать человек девственный природный условие наблюдать изменение сознание тело план приключение единственный фильм который использоваться прием наиболее известный пример являться забриск пойнт eol порок добродетель европейский капиталистический общество критик который обходиться лента антониони демонстрироваться чувство мера весь это символика фон основополагающий форма бытие время пространство который именно творчество антониони фактически обретать свой подлинный сущность данный случай прямо противопоставляться друг друг ускользать человек время обманчивый ощущать лишь движение пространство чувствоваться постоянно герой сандро клаудия осознавать попадать власть первый непростительный быстро забывать испытывать исчезновение анна время поиск остров начинаться исчезновение исчезновение рано казаться самый важный вскоре становиться второстепенный второй часть фильм отчетливо показывать главный герой способный осознавать свой положение первоначальный эйфория мнимый счастие обретать близость сменяться что-то вроде внутренний страх дело подключаться величество пространство фон который герой фильм попросту теряться весь отношение преследовать чей-то невидимый взгляд возможно анна метаться поиск что-то застывать нерешительный раздумье нередко повертываться зритель спина избегать прямой взгляд камера подчеркивать свой ничтожный беспомощный положение больший степень это относиться сандро клаудия касаться практически каждый персонаж картина совершенно банальный первый взгляд тема обретать значение непостижимый философия человеческий бытие eol картина оставлять зритель очень сильный чувство эмоция число восхищение игра некоторый артист первый очередь это относиться моника витти утончать итальянский красавица который именно фильм становиться пропуск новый мир итальянский философский кино режиссер хороший образец европейский модернистский кино 20 век открывать дверь новый призрачный мир человеческий некоммуникабельность отчуждение иметь право забывать	63930_9	yes	yes	no	yes	pos	pos	neut	pos	"""Необычайный подход к форме и содержанию"" делает мнение об операторской работе и спецэффектах положительным.
""Эта картина оставляет у зрителя очень сильные чувства и эмоции, в том числе и восхищение игрой некоторых артистов"" обозначает положительное мнение об игре актеров и, в целом, о сюжете.
Про музыкальное сопровождение ничего не сказано."
63991_4	eol все-таки мочь поверять показывать второй часть нескончаемый эпопея пират это настолько впечатляющий разрушительно будоражить зрелище оставаться рукоплескать онемение ладонь именно качество картинка создавать визуальный эффект сундук мертвец превосходить зрелищность проклятие черный жемчужина eol центр сюжет очередной оригинальный приключение капитан джек воробей команда также старый друг просто знакомый главный отрицательный персонаж антагонист являться шкипер летучий голландец дейви джоунс ох специалист визуальный эффект умудряться создавать образ образ команда явный уклон сторона морской обитатель каракатица акула молот омар т д парень приходиться сталкиваться наш бравый джентльмен удача джек воробей хотя это приходиться отбиваться приставание племя каннибал стиль капитан черный жемчужина весь отрезок проходить весело непринужденный захватывать сторона побег джек побег команда сплетать кость корзина вызывать единодушный смех расстраиваться бедный каннибал просить вернуться назад уплывать свой вождь оказываться самый песик ключ зуб первый часть весь мысль джек сразу улетучиваться прочее специальный двухдисковый издание сундук мертвец титр очень занимательный сцена это стоять мгновенно выключать телевизор монитор титр eol молодой храбрый уилл тернер неожиданно находить свой родной отец где-нибудь остров карибский море судно летучий голландец ирония сыграть шутка оба время элизабет суонный вместо сидеть сложе рука решетка решать находить свой благоверный помощь капитан джек воробей время возникать позабывать вроде персонаж фамилия норрингтон честный часть сценарист давать пространство действие чистый форма стойка командорский вежливость выдержка также душа путешествовать главный герой старый команда черный жемчужина брат маленький толстенький высокий худенький матрос преклонный возраст попугай который невообразимый научать разговаривать маленький удалец короткий ножка преданный точно санчо панчо дон кихот гиббс eol фильм столько запоминаться сцена поневоле мочь решать самый любимый битва тернер норрингтон джек колесо превосходный весь точка безудержный фантазия сценарист сыграть блестящий партия момент сцена кракен забавлять пугать одновременно мысль морской чудище представлять гигантский осьминог кашалот кальмар сновать водный гладь трудно замечать перемещение это удовлетворять образ создавать фильм касаться тематика именно сундук мертвец осьминог создавать самый хороший вариант который лишь мечтать понимать это увидеть момент джек воробей оставаться наедине кракен eol общий спешить выражать благодарность весь создатель самый зрелищный произведение история кинематограф оставаться оператор дариуш вольск сценарист тед эллиотт терри оссио продюсер джерри брукхаймер режиссер гора вербинский смениться лишь композитор вместо клаус бадельта команда принимать самый ныне знаменитый композитор ханс циммер музыка ханс циммер решать добавлять эпический нотка превозносить фильм масштабный облик стоить игра орган !!! eol получать истинный удовольствие фильм рассчитать развлекать радовать зрелищность время запирать сундук весь свой снобизм который присущий настоящий ценитель магия киноискусство кой относиться получать наслаждение просмотр сундук находиться сердце дейви джоунс это сулить огромный перспектива завладевать следующий часть край свет прочее появляться неожиданный герой самый последний сцена фильм видеть сразу понимать eol шикарный весь смысл творение мочь поставлять 8 10 все-таки заслуживать сундук мертвец свистать наверх идти абордаж поиск капитан джек воробей начинаться йо хо-хо	63991_9	yes	yes	yes	no	pos	pos	pos	neut	"""Это было настолько впечатляющим и разрушительно-будоражащим зрелищем... Именно по качеству картинки и созданным визуальным эффектам..."" дает понять, что отзыв о сюжете и об операторской работе и спецэффектах крайне положителен.
Мнение о музыкальном сопровождении тоже положительно - ""Чего стоит только игра на органе!!!""
Мнение об игре актеров не выражено."
64081_5	eol просмотр фильм просто переполнять сильный эмоция начало фильм вызывать бурный интерес крайне мера первый 20 минута непонятный бред глупый манера порадовать появление несколько минута аня мухерджи понестись закручиваться eol сюжет фильм главный герой дева бездельник ловелас ради материальный выгода решать жениться дочь крупный промышленник отправляться будущий родственник теплоход дева намереваться весело погулять сей громадный посудина ан выходить путем направляться свой жених прии победительница фестиваль азиатский музыка танец чистый невинный девушка несколько недоразумение взаимный подкалывать становиться друг вскоре понимать попадаться сеть любовь дева настоящий мужчина первый говорить свой чувство прии отвергать вспомнить жених который кстати показываться испытывать братский нежели романтический чувство однако подумать признаваться любить дева условие каждый пусть идти свой дорога шесть месяц встречаться назначать место приходить искать образ время расставлять весь свой место проверять чувство далеко начинаться самый интересный eol аамир кхан каран дева сингх персонаж дева делиться часть дева встреча прии потрясать перевоплощение циничный ловелас верный трудолюбивый парень просто идеал любой девушка зарабатывать жизнь свой рука причем делать это впервые взгляд свой первый зарабатывать деньги стоить думать это тронуть любой жизнь понятный дело редко бывать поэтому приятно видеть кино подобный пример одинаково правдоподобный сыграть совершенно разный тип человек ценить зритель аамир кхан внешность родительский деньги некоторый болливуд грандиозный талант браво eol маниш койраться прии варма сожаление впечатлить думать единственный сказать слишком миловидный главный роль главный роль смотреться красавица минимум симпатичный девушка протяжение весь фильм раздражать внешность маниш сказать актерский данные играть смеяться искренне плакать натурально взгляд роль eol несколько слово песня мотив самый наглый образ копировать итальянский хит мило это смотреться особенно понравиться индийский версия la shante mi cantare песня герой рояль помнить название eol ценитель настоящий индийский кино смотреть обязательно eol 9 10		yes	no	yes	yes	pos	neut	pos	pos	"Мнение об игре актеров положительное (""Одинаково правдоподобно сыграл..."", ""Браво!"", ""Играла она хорошо...""), общее мнение о сюжете тоже (""как понеслось, как закрутилось"").
Про операторскую работу и спецэффекты ничего не сказано, зато про музыкальное сопровождение автор ответил, что оно ""мило смотрится""."
70911_0	устраивать человек кто-то виноватый недоброжелатель круг который мочь входить враг друг       ),        родственник начальник правительство президент виноватый лишь собственный пористый тельце способный бесконечно долго жалеть любимый утыкать свой слезливый носик жилетка мнимый сочувствовать eol великолепный задумка француз андре кайат показывать диаметральный точка зрение конфликт муж жена каждый герой последовательно изображать святой выставлять второй половина полный ничтожество серия фильм идеалистический взгляд персонаж видеть изнутри свой всеобъемлющий eol искусный кинематографический диптих супружеский незрелость слово любовь ставиться самый пара тройной кавычка оба считать жертва никто истинный жертва приносить хотеть жан марк должный сделать мужчина большой франсуаза должный женщина чистый каждый лезть вынимать соринка чужой глаз собственный взгляд перевешивать огромный бревно eol слепота дух моральный аллергия помножать степень ограниченность имя который глупость вести оба закономерный одиночество истина оказываться действительно вино вино собственный ракурс второй оказываться недоступный eol фильм гениальный кайат снимать третий серия самый дело хотя стоп самый дело это субъективный точка зрение режиссер получаться идеальный двуполярный памфлет зритель трудно занимать чей либо точка зрение складывать оба позиция занимать свой доснимать третий нейтральный серия голова eol 8 10		yes	no	no	no	pos	neut	neut	neut	"Об игре актеров, музыкальном сопровождении, операторской работе и спецэффектах ничего не сказано.
Сюжет явно заинтересовал автора."
7158_1	eol фильм состоять основной диалог именно создавать атмосфера фильм держать напряжение самый конец eol центр фильм стоять музыкант бунтарь ксавьер плавно прожигать свой жизнь ночной клуб попадать решетка осознавать хотеть уходить это 30 пора подумать что-то важный жизнь брать свой спутница гитара уезжать начинать новый жизнь человек играть великолепный марлон брандо eol джоэнн вудворд играть молодой бунтарка кэрол который весь сила хотеть добиваться внимание ксавьер слишком напоминать прошлое который хотеть уходить безнадежный попытка приводить различный безумный выходка eol ксавьер устраиваться работа обувной магазин знакомиться немолодой хозяйка весьма необычный имя леди который жить больной озлобленный муж общий женщина который нехорошо обходиться жизнь влюбляться ксавеьра вместе вновь полюбить жизнь это опасно встречаться замужний женщина eol стоить отмечать леди сыграть неизвестный актриса анна маньянять сыграть просто великолепно плохой марлон брандо это очень трудный общий незабываемый фильм весь время		yes	yes	no	yes	pos	pos	neut	pos	"О музыкальном сопровождении ничего не сказано.
Высказано, что фильм держит в напряжении до самого конца, так что мнение об операторской работе положительно.
Не раз сказано про великолепную игру актеров.
"
78993_2	eol ильза свирепый тюремщица это третий фильм маньячный тетка ильза вроде грета знать это связанный мочь какой-нибудь авторский право что-то род крайний мера режиссер дон эдмондс легенда эротический хоррор джесус хесус иисус франко eol понятный появление фильм небезызвестный лина омэй неизбежный франко любить снимать свой фильм свой супруга кроме кино присутствовать некоторый сцена фильм куколка колючий проволока который снимать хесус франко eol общий мужик решать немного навариваться популярность ильза снимать свой кино франко это вполне нормальный ситуация любить эксплуатировать эксплуатационный кино прощать каламбур eol сюжет лишний останавливаться полагать смысл весь довольно стандартно фильм давать тематика насилие самый разнообразный форма женщина смениться лишь декорация бархан джунгли eol касаться актер хотеться отмечать актриса eol во-первых жутко отвратительный прямо сказать мерзкий бабенка дайан торн честно сказать сталкиваться столь отвратительный актриса пусть обижаться поклонник дайан очень некрасивый лицо большой бюст ничуть исправлять положение делать актриса гротескный хотя фильм подобный род подходить идеально начинать ненавидеть первый минута появление eol во-вторых лина омэй точно оз мариа алмиралл мартинес удивительно милый красивый девушка умудряться спутываться мастер эротический ужас оставаться непонятно судить человек внешний вид верно лина любительница обнажаться камера проделывать сей пора несмотря довольно почтенный возраст кроме красавица брезговать порнофильм менее какой-то образ умудряться сохранять самый невинный вид среди большинство актриса жанр eol увы фильм ничто запоминаться наличие немой указанный актриса синьора франко положение спасать фильм понравиться eol 2 10		yes	no	no	yes	neg	neut	neut	neg	"В этом задании нужно выбрать негативное мнение автора о игре актеров и о сюжете, так как ему явно не понравилось это все, о чем и сказано в отзыве
О музыкальном сопровождении не сказано ни слова, так что отвечаем соответственно.
Мнение об операторской работе и спецэффектах так же выражено не было, хотя автор и много рассказал о режиссере."
79667_5	eol действительно совершенно разный мир мир первый часть покахонтас продолжение eol глубина чувство описывать первый часть красочность эмоциональность это зритель переживать вместе герой слушать голос ветер свой сердце любовь который преодолевать преграда культура боль смерть войналюбовь покахонтас джон смит первый часть совершенно искажаться второй фильм персонаж eol покахонтас который первый часть показывать свой свободолюбивый благородный глубокий натура свой мудрость верность настойчивость мужество бесстрашие сиквел потерять половина весь свой хороший качество превращаться комедийный персонаж фильм приобретать оттенок комедийность становиться сцена который нести смысловой нагрузка веселить зритель привлекать просмотр больший количество человек сюжет целый потерять последовательность логичность например сцена снег покахонтас видеть компас джон смит любить помнить ветер рисовать силуэт ледяной водопад замечать некоторый время сцена берег покахонтас интерес смотреть джон ольф постепенно влюбляться джон ольф высокомерный глуповато веселый персонаж странно покахонтас предавать свой любовь джон смит ради eol джон смит полностью преображаетсяиз смелый мужественный герой постепенный превращаться гордый легкомысленный посредственный следовать покахонтас поддерживать называть поступок безумный странный ощущение джон смит первый часть разделять персонаж второй сделать джон ольф положительный смит отрицательный eol жалко ребенок который интересно увидеть знакомый персонаж счастливый влюбленный сложно привыкать новый главное героютем джон ольф eol создатель сиквел просто напросто разрушать весь детский мечта сделать печальный драматический история посмешище ряд несвязанный пустой сцена который хотеться переделывать eol жкаждый человек видеть история покахонтас по-своему сторона смотреть решать eol 1 10		yes	no	no	no	neg	neut	neut	neut	"""Сюжет в целом потерял последовательность и логичность"", так что соответствующее мнение отрицательное.
Про прочие вопросы ничего сказано не было."
81297_5	eol бросать вызов бог жалеть пытаться преодолевать рубеж заплатить весь это свой жизнь отмечать свой жалость бежать цепляться карабкаться стон полный жалость eol ребенок мочь сломать рука драгоценный чадо мочь приходить синяк больно жалеть опускать свой шанс хотеть подарить eol посмотреть фильм фильм становиться бессмертный становиться история просто статистический единица обретать имя поставлять кон жизнь это философия жизнь обращаться твой имя журнал говорить вспоминать размышлять жизнь это тешить надежда нужный eol прекрасный фильм прекрасный актер неподражаемый клин иствуд роль терзание душа жизнь посмотреть сторона находить общий герой стремление отсрочивать шанс это ваш жизнь eol героиня хиллари суэнка никто пора пока переставать думать смысл жизнь думать действовать олимп становиться заветный цель ради триумф ан кон поставлять весь eol личность судьба ринг инга который пот кровь инга который рождать герой ринг хоронить мечта тысяча минута eol хватить свой жизнь хоронить ринг		yes	no	no	no	pos	neut	neut	neut	"Мнение об игре актеров не выражено, сказано только, что они сами прекрасны и неподражаемы. О музыкальном сопровождении, операторской работе и спецэффектах ничего не сказано.
"
8251_6	eol начало время женщина искушать соблазнять мужчина приводить различный последствие изгнание рай война железный трон       ),        образ роковой искусительница прочно обосновываться мировой культура кинематограф особенно щедро образ роковой красотка эксплуатироваться нуар хотя естественно соблазнительница всякий род нередко встречаться жанр киноискусство например комедия нуар окутывать тень табачный дым искусительница предвещать беда комедия становиться причина череда комический ситуация являться особый чрезвычайно остроумный наоборот беспросветный глупый оба крайность одинаково создавать комический ситуация часто попытка соблазнять мужчина влюбляться прежний план идти насмарку eol происходить комедия леди ева режиссер престон стерджес джин барбара стэнвик отец поиск новый добыча оказываться океанский лайнер плыть южный америка северный карточный шулер раздевать нитка миллионер весь масть цель становиться чарльз пайк генри фонд       ),        молодой сын пивоваренный магнат оказываться пристальный внимание женский пол весь возраст сразу восходить борт джин браться соблазнение бедняга который целый год лишать общество женщина предпочитать змей амазонка вдвоем прижиматься щека щека одурманивать аромат дух близость поддаваться очаровательность момент       ),        рассуждать любовь который начинать расцветать сердце однако чарльз весь предстоять узнавать правда первоначальный замысел джин eol сюжет картина довольно простой расцветать яркий краска благодаря остроумный диалог харизматичный персонаж самый незначительный персонаж появляться буквально пара минута вносить значительный вклад комедийный составлять бросать фраза который смело разбирать цитата кроме диалог зритель ждать неловкий падение казус результат который испортить целый смокинг вместе фильм мочь похвастаться парочка чувственный сцена способный вскружить голова натура особо романтический eol вершина весь это великолепный игра актер точно следовать сказать основа это леди ева полностью принадлежать барбара стэнвик блистать роль джин привносить покорять шарм подкупать непринужденность образ мошенница сколько мошенница появляться экран большой малый столь очаровательный генри фонд неизменно вызывать улыбка роль простачок который остроумный джин обводить вокруг палец eol фильм проскальзывать образ намекать ева познавать добро зло проползать змея обычно являться символ коварство выступать качество озорной оформление антураж картина джин называть коварный просто заниматься получаться дурачить мужчина любовь спутывать карта образ главный героиня ложиться тень злой умысел обвораживать живость ум простота жест фильм пленять зритель свой легкость непосредственность изобретательный шутка романтический настроение eol 9 3 10		yes	yes	no	yes	pos	pos	neut	pos	"""Великолепная игра актеров"" явно выражает мнение автора о ней.
О музыкальном сопровождении ничего не сказано.
Сюжет восхитил автора, операторская работа и спецэффекты так же высоки, так как ""фильм пленяет зрителя своей легкостью, непосредственностью, изобретательными шутками и романтическим настроением""."
